iter	Passed	Remaining
487	662	694
488	663	693
489	664	692
490	666	690
491	667	689
492	669	688
493	670	687
494	672	685
495	673	684
496	674	682
497	676	681
498	677	680
499	678	678
500	679	677
501	681	675
502	682	674
503	684	673
504	685	671
505	686	670
506	688	669
507	689	667
508	690	666
509	691	664
510	693	663
511	694	661
512	695	660
513	697	659
514	699	658
515	700	656
516	701	655
517	703	654
518	704	652
519	705	651
520	706	650
521	708	648
522	709	647
523	710	645
524	712	644
525	713	642
526	715	641
527	716	640
528	717	639
529	719	637
530	720	636
531	721	634
532	722	633
533	724	632
534	725	630
535	726	629
536	728	627
537	729	626
538	731	625
539	732	624
540	733	622
541	735	621
542	736	619
543	737	618
544	739	617
545	740	615
546	741	614
547	742	612
548	744	611
549	745	610
550	747	609
551	748	607
552	749	606
553	751	604
554	752	603
555	754	602
556	755	600
557	756	599
558	757	597
559	759	596
560	760	595
561	762	594
562	763	592
563	765	591
564	766	590
565	767	588
566	769	587
567	770	586
568	771	584
569	773	583
570	774	581
571	775	580
572	777	579
573	778	577
574	779	576
575	781	575
576	782	573
577	783	572
578	785	570
579	786	569
580	787	567
581	788	566
582	790	565
583	791	563
584	792	562
585	794	561
586	795	559
587	797	558
588	798	557
589	799	555
590	800	554
591	802	552
592	803	551
593	804	550
594	806	548
595	807	547
596	809	546
597	810	544
598	811	543
599	813	542
600	814	540
601	815	539
602	817	537
603	818	536
604	819	535
605	820	533
606	822	532
607	823	531
608	825	530
609	826	528
610	828	527
611	832	527
612	835	527
613	838	527
614	841	527
615	844	526
616	846	525
617	848	524
618	851	524
619	854	523
620	857	523
621	860	522
622	862	521
623	863	520
624	865	519
625	866	517
626	867	516
627	869	515
628	872	514
629	873	513
630	875	512
631	877	510
632	878	509
633	879	507
634	881	506
635	882	505
636	883	503
637	885	502
638	886	500
639	888	499
640	889	498
641	890	496
642	892	495
643	893	493
644	894	492
645	896	491
646	897	489
647	899	488
648	900	486
649	901	485
650	903	484
651	904	482
652	906	481
653	907	480
654	908	478
655	910	477
656	911	475
657	912	474
658	913	472
659	915	471
660	916	470
661	917	468
662	919	467
663	920	465
664	922	464
665	923	463
666	924	461
667	925	460
668	927	458
669	928	457
670	929	455
671	931	454
672	932	453
673	933	451
674	935	450
675	936	449
676	938	447
677	939	446
678	941	444
679	942	443
680	943	442
681	945	440
682	946	439
683	947	437
684	948	436
685	950	435
686	952	433
687	953	432
688	954	431
689	956	429
690	957	428
691	958	426
692	960	425
693	961	423
694	962	422
695	963	421
696	965	419
697	967	418
698	968	417
699	969	415
700	971	414
701	972	412
702	973	411
703	974	409
704	976	408
705	977	407
706	979	405
707	980	404
708	982	403
709	983	401
710	985	400
711	986	399
712	988	398
713	990	396
714	992	395
715	993	394
716	995	392
717	996	391
718	998	390
719	999	388
720	1001	387
721	1002	385
722	1003	384
723	1004	383
724	1006	381
725	1007	380
726	1008	378
727	1010	377
728	1011	376
729	1013	374
730	1014	373
731	1016	372
732	1017	370
733	1019	369
734	1020	367
735	1021	366
736	1022	365
737	1024	363
738	1025	362
739	1026	360
740	1028	359
741	1029	358
742	1031	356
743	1032	355
744	1033	353
745	1035	352
746	1036	351
747	1038	349
748	1039	348
749	1040	346
750	1042	345
751	1043	344
752	1045	342
753	1046	341
754	1047	339
755	1048	338
756	1050	337
757	1051	335
758	1052	334
759	1054	332
760	1055	331
761	1056	330
762	1058	328
763	1059	327
764	1061	326
765	1062	324
766	1063	323
767	1064	321
768	1066	320
769	1067	318
770	1069	317
771	1070	316
772	1071	314
773	1072	313
774	1074	311
775	1075	310
776	1077	309
777	1078	307
778	1080	306
779	1081	305
780	1082	303
781	1084	302
782	1085	300
783	1086	299
784	1088	298
785	1089	296
786	1091	295
787	1092	293
788	1094	292
789	1095	291
790	1096	289
791	1097	288
792	1099	286
793	1100	285
794	1101	284
795	1103	282
796	1104	281
797	1106	279
798	1107	278
799	1108	277
800	1109	275
801	1111	274
802	1112	272
803	1113	271
804	1115	270
805	1116	268
806	1117	267
807	1118	265
808	1120	264
809	1122	263
810	1123	261
811	1124	260
812	1126	259
813	1127	257
814	1128	256
815	1130	254
816	1131	253
817	1132	252
818	1134	250
819	1135	249
820	1136	247
821	1138	246
822	1139	245
823	1140	243
824	1142	242
825	1143	240
826	1144	239
827	1146	238
828	1147	236
829	1149	235
830	1150	233
831	1151	232
832	1153	231
833	1155	229
834	1156	228
835	1158	227
836	1159	225
837	1161	224
838	1162	223
839	1163	221
840	1165	220
841	1166	218
842	1167	217
843	1169	216
844	1170	214
845	1172	213
846	1173	211
847	1174	210
848	1176	209
849	1177	207
850	1178	206
851	1180	205
852	1181	203
853	1182	202
854	1184	200
855	1185	199
856	1187	198
857	1188	196
858	1189	195
859	1191	193
860	1192	192
861	1194	191
862	1195	189
863	1196	188
864	1198	186
865	1199	185
866	1200	184
867	1202	182
868	1203	181
869	1205	180
870	1206	178
871	1207	177
872	1209	175
873	1210	174
874	1212	173
875	1213	171
876	1214	170
877	1216	168
878	1217	167
879	1219	166
880	1220	164
881	1221	163
882	1223	162
883	1224	160
884	1226	159
885	1227	157
886	1228	156
887	1230	155
888	1231	153
889	1233	152
890	1234	151
891	1236	149
892	1237	148
893	1238	146
894	1240	145
895	1241	144
896	1242	142
897	1244	141
898	1245	139
899	1247	138
900	1248	137
901	1250	135
902	1251	134
903	1252	133
904	1254	131
905	1255	130
906	1256	128
907	1258	127
908	1259	126
909	1260	124
910	1262	123
911	1263	121
912	1265	120
913	1266	119
914	1268	117
915	1269	116
916	1270	115
917	1272	113
918	1273	112
919	1274	110
920	1276	109
921	1277	108
922	1278	106
923	1280	105
924	1281	103
925	1283	102
926	1284	101
927	1285	99
928	1287	98
929	1288	96
930	1289	95
931	1291	94
932	1292	92
933	1294	91
934	1296	90
935	1297	88
936	1298	87
937	1300	85
938	1301	84
939	1303	83
940	1304	81
941	1305	80
942	1306	78
943	1308	77
944	1309	76
945	1311	74
946	1312	73
947	1313	72
948	1315	70
949	1316	69
950	1318	67
951	1319	66
952	1320	65
953	1322	63
954	1323	62
955	1324	60
956	1326	59
957	1327	58
958	1329	56
959	1330	55
960	1331	54
961	1333	52
