iter	RMSE
870	115.1658202
871	115.0735562
872	114.8765521
873	114.6963168
874	114.5655018
875	114.4966981
876	114.3054729
877	114.1781973
878	114.1028315
879	113.9560735
880	113.8420394
881	113.6246138
882	113.5942403
883	113.5604275
884	113.3684566
885	113.2585673
886	113.1606873
887	112.9166659
888	112.7253169
889	112.6199296
890	112.4143359
891	112.2261903
892	112.0539216
893	111.9827759
894	111.8378894
895	111.6872154
896	111.5244787
897	111.2483181
898	111.0701829
899	110.8697488
900	110.6728572
901	110.4513157
902	110.3120706
903	110.1265921
904	109.9722581
905	109.7931292
906	109.704044
907	109.5307233
908	109.4118416
909	109.306874
910	109.133385
911	108.9853143
912	108.9053616
913	108.8212448
914	108.5927879
915	108.4739909
916	108.3053674
917	108.215123
918	108.049368
919	107.9007975
920	107.8001537
921	107.6101793
922	107.5100811
923	107.4097281
924	107.2284152
925	107.1181917
926	106.9258535
927	106.8171085
928	106.5889566
929	106.3725542
930	106.2265059
931	105.9962712
932	105.8002943
933	105.6438096
934	105.5400979
935	105.4523044
936	105.3015451
937	105.1206236
938	105.0302806
939	104.8559089
940	104.6461362
941	104.5437888
942	104.3931418
943	104.2883537
944	104.1180168
945	103.9534732
946	103.8760203
947	103.7895304
948	103.721527
949	103.6134513
950	103.4060417
951	103.2950954
952	103.0877604
953	102.9442012
954	102.8650024
955	102.7108856
956	102.5822018
957	102.4919715
958	102.4059594
959	102.2231071
960	102.1563768
961	102.0008563
962	101.8010056
963	101.6718244
964	101.4833538
965	101.344375
966	101.2568088
967	101.0576456
968	100.9458401
969	100.8637349
970	100.6539059
971	100.5305485
972	100.2715588
973	100.156404
974	99.9517236
975	99.81096527
976	99.69322101
977	99.61136342
978	99.52903588
979	99.42760143
980	99.26691743
981	99.00813664
982	98.95057913
983	98.8142707
984	98.70906872
985	98.57299647
986	98.40117213
987	98.25314045
988	98.14988017
989	98.02953522
990	97.93250472
991	97.89059392
992	97.77463152
993	97.64738548
994	97.49723978
995	97.43240245
996	97.32579126
997	97.15286321
998	97.0353535
999	96.91861087
